overall_building_condition,max_mph,age_yrs,number_of_stories,roof_shape,roof_cover,wall_cladding,structural_framing_system
1,5,15.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,15.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,15.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,15.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,15.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,15.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
2,100,33.0,2.0,Gable/Hip,Metal shingle,Fiber cement,Wood-frame
1,5,14.0,1.0,Complex,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,15.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,15.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,5,15.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,5,16.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,16.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,16.0,3.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,110,15.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,16.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,15.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,16.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,16.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,5,16.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,14.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
2,110,56.0,1.0,Gable/Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,5,14.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,100,10.0,2.0,Gable,Asphalt shingles (3-tab),Fiber cement,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,100,2.0,2.0,Complex,Standing Seam Metal,Stucco,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,14.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,12.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,12.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
2,105,35.0,1.0,Other,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,5,33.0,2.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,5,11.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,14.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Brick
1,5,13.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,12.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,13.0,1.0,Complex,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,12.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,12.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,12.0,1.0,Gable,Asphalt shingles (3-tab),Brick Veneer,Masonry
1,5,12.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,12.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Masonry
1,5,12.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,5,11.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
2,110,46.0,2.0,Flat,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,5,10.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
2,110,40.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,110,39.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,110,40.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,110,48.0,1.0,Gable/Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,5,32.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
2,110,45.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,110,56.0,1.0,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
2,110,55.0,1.0,Flat,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,5,22.0,2.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,110,47.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,110,34.0,1.0,Complex,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,110,47.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,110,49.0,1.0,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
1,110,49.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,105,18.0,1.0,Hip,Standing Seam Metal,Vinyl Siding,"Wood-frame,Structural steel"
1,10,3.0,1.0,Other,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,15,2.0,1.0,Gable/Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,75,2.0,1.0,Gable/Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,100,36.0,1.0,Gable/Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,100,17.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,100,48.0,1.0,Gable,Asphalt shingles (laminated),EIFS,Wood-frame
1,100,15.0,1.0,Gable/Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,100,16.0,1.0,Hip,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
1,105,8.0,3.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,105,22.0,2.0,Gable/Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,105,39.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,105,2.0,1.0,Gable,Standing Seam Metal,Sheet metal,Structural steel
2,105,23.0,1.0,Gable,Standing Seam Metal,Vinyl Siding,Wood-frame
1,105,23.0,1.0,Gable,Asphalt shingles (3-tab),EIFS,Wood-frame
1,105,17.0,2.0,Complex,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,100,37.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,105,22.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
2,105,41.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,105,18.0,1.0,Complex,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
2,105,32.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,50,12.0,1.0,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
2,105,38.0,2.0,Other,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,20,12.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
2,105,32.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,40,7.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,105,34.0,1.0,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
1,25,12.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,45,6.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,25,12.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
2,105,66.0,1.0,Gable,Asphalt shingles (laminated),Stucco,Wood-frame
1,60,11.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,25,8.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,40,8.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,80,7.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,5,11.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
1,5,11.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,85,7.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,85,7.0,1.5,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
1,10,12.0,1.0,Other,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
0,15,6.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,100,57.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,10,8.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,100,30.0,2.0,Gable,Asphalt shingles (3-tab),Fiber cement,Wood-frame
2,105,34.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
2,100,36.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,85,10.0,1.0,Gable/Hip,Standing Seam Metal,Vinyl Siding,Wood-frame
1,85,7.0,2.0,Gable/Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,85,6.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,105,7.0,2.0,Hip,Standing Seam Metal,Fiber cement,Wood-frame
2,105,42.0,2.0,Complex,Standing Seam Metal,Wood Siding,Wood-frame
2,105,25.0,2.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,105,5.0,2.0,Gable/Hip,Asphalt shingles (laminated),Fiber cement,Wood-frame
1,105,2.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,105,31.0,1.0,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
2,105,45.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,5,14.0,1.0,Gable/Hip,Asphalt shingles (laminated),Stucco,Wood-frame
1,95,12.0,1.0,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
2,95,19.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,95,40.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,95,26.0,1.0,Gable/Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,95,14.0,2.0,Hip,Asphalt shingles (laminated),Stucco,Wood-frame
2,95,40.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,95,49.0,1.0,Gable,Standing Seam Metal,Vinyl Siding,Wood-frame
2,95,46.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,95,34.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,95,14.0,1.0,Complex,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,95,14.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,95,32.0,1.0,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
1,90,3.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,95,49.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,95,19.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,90,36.0,1.0,Hip,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
2,85,16.0,1.0,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
2,90,42.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,95,51.0,1.0,Gable,Standing Seam Metal,Wood Siding,Wood-frame
1,90,41.0,1.0,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
1,95,47.0,1.0,Hip,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
1,90,17.0,2.0,Complex,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
1,85,8.0,1.0,Hip,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
2,95,45.0,1.0,Hip,Standing Seam Metal,Wood Siding,Wood-frame
2,90,41.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,90,47.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,95,51.0,1.0,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
2,90,47.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,90,54.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,90,39.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,90,35.0,1.0,Hip,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
2,95,40.0,1.0,Gable/Hip,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
2,95,43.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,95,43.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,95,47.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,95,36.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,90,18.0,1.0,Gable,Standing Seam Metal,Sheet metal,Structural steel
2,95,35.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,90,24.0,1.0,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
1,90,38.0,1.0,Hip,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
2,95,41.0,1.0,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
2,90,43.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,95,24.0,1.0,Gable,Standing Seam Metal,Wood Siding,Wood-frame
1,90,34.0,1.0,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
2,90,43.0,1.0,Gable/Hip,Asphalt shingles (laminated),EIFS,Wood-frame
1,95,32.0,1.0,Gable/Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,90,38.0,1.0,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
2,95,18.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,90,51.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,90,41.0,2.0,Other,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
1,85,14.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,95,5.0,1.0,Hip,Standing Seam Metal,Wood Siding,Wood-frame
2,90,46.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,90,15.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,95,5.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,85,36.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,85,51.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,85,5.0,1.0,Gable,Standing Seam Metal,Vinyl Siding,Wood-frame
2,85,59.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,95,45.0,1.0,Hip,Asphalt shingles (laminated),EIFS,Wood-frame
1,85,52.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,85,51.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,90,11.0,2.0,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
1,85,32.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,90,12.0,1.0,Gable/Hip,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
2,85,41.0,1.0,Complex,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,90,38.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,85,38.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,95,9.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,90,50.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,95,37.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
2,95,42.0,1.0,Hip,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
1,95,42.0,1.0,Hip,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
2,95,50.0,1.0,Gable,Standing Seam Metal,Stucco,Masonry
1,85,9.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,95,14.0,2.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
1,75,49.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,75,63.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,75,56.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,75,60.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,75,69.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,75,59.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,75,60.0,1.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,75,49.0,1.0,Gable,Standing Seam Metal,Wood Siding,Wood-frame
0,75,62.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,75,56.0,1.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,75,61.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,75,56.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,75,64.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,75,61.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,75,56.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,75,56.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,75,20.0,2.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,75,35.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,75,35.0,1.0,Gable,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,75,12.0,2.0,Hip,Asphalt shingles (laminated),Brick Veneer,Masonry
0,75,33.0,1.0,Gable,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
0,75,35.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,75,15.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,75,59.0,1.0,Hip,Standing Seam Metal,Wood Siding,Wood-frame
0,75,58.0,1.0,Gable,Standing Seam Metal,Fiber cement,Wood-frame
1,75,25.0,1.0,Hip,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,75,5.0,1.0,Flat,Standing Seam Metal,Vinyl Siding,Wood-frame
1,80,63.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,75,59.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,75,58.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
1,75,45.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,70,8.0,1.0,Gable/Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,70,22.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,70,7.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
1,70,58.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,55,15.0,2.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,80,69.0,1.0,Gable,Standing Seam Metal,Wood Siding,Wood-frame
0,80,72.0,1.0,Gable,Standing Seam Metal,Wood Siding,Wood-frame
0,80,56.0,1.0,Gable,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,80,39.0,1.0,Gable,Standing Seam Metal,Wood Siding,Wood-frame
0,80,59.0,1.0,Gable,Standing Seam Metal,Wood Siding,Wood-frame
0,80,49.0,1.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,80,49.0,1.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
1,80,43.0,1.0,Gable,Asphalt shingles (laminated),Brick Veneer,Wood-frame
0,80,41.0,1.0,Gable,Standing Seam Metal,Brick Veneer,Wood-frame
1,80,20.0,1.0,Hip,Asphalt shingles (3-tab),Brick Veneer,Wood-frame
1,80,41.0,1.0,Hip,Asphalt shingles (laminated),Wood Siding,Wood-frame
0,80,44.0,1.5,Gable,Asphalt shingles (laminated),Vinyl Siding,Wood-frame
1,85,57.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
1,85,82.0,1.0,Gable,Continuous Surface,Wood Siding,Wood-frame
2,80,14.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
1,105,33.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,95,41.0,1.0,Hip,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,100,40.0,2.0,Gable,Metal shingle,Wood Siding,Wood-frame
1,80,72.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,80,22.0,2.0,Complex,Metal shingle,Hardie Board Siding,Wood-frame
1,90,58.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,85,63.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,85,67.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,90,37.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
2,95,40.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,105,46.0,1.0,Gable,Panels-Wood,Wood Siding,Wood-frame
2,105,35.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,105,46.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,105,26.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,85,8.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,95,43.0,1.0,Complex,Asphalt shingles (3-tab),Hardie Board Siding,Wood-frame
2,95,45.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,85,8.0,2.0,Gable,Asphalt shingles (3-tab),Stucco,Wood-frame
0,85,13.0,1.0,Hip,Asphalt shingles (3-tab),Stucco,Wood-frame
1,95,39.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
2,95,45.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,95,50.0,1.0,Flat,Metal shingle,Wood Siding,Wood-frame
2,95,52.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
0,100,40.0,2.0,Complex,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,95,42.0,2.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,80,31.0,2.0,Hip,Asphalt shingles (3-tab),Stucco,Wood-frame
0,95,38.0,1.0,Gable,Continuous Surface,Wood Siding,Wood-frame
1,105,46.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,85,27.0,2.0,Hip,Asphalt shingles (3-tab),Hardie Board Siding,Wood-frame
0,105,10.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,85,62.0,1.0,Gable,Metal shingle,Brick Veneer,Wood-frame
2,105,14.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,95,41.0,1.0,Complex,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,105,32.0,1.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,95,35.0,2.0,Complex,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,90,49.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,105,17.0,1.0,Complex,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,95,3.0,2.0,Complex,Continuous Surface,Wood Siding,Wood-frame
0,110,11.0,1.0,Complex,Metal shingle,Stucco,Wood-frame
1,100,40.0,2.0,Gable,Asphalt shingles (3-tab),Vinyl Siding,Wood-frame
0,95,42.0,2.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
2,105,34.0,1.0,Gable,Asphalt shingles (3-tab),Wood Siding,Wood-frame
1,95,57.0,1.0,Hip,Asphalt shingles (3-tab),Wood Siding,Wood-frame
